"year","treatment","total_energy","total_abund"
"1979","control",19220.8559567359,152
"1979","exclosure",1176.02009585798,24
"1979","removal",305.904548981485,5
"1979","spectabs",878.862168241757,12
"1980","control",94149.1592866913,702
"1980","exclosure",4014.90036295616,93
"1980","removal",1733.24849921293,26
"1980","spectabs",8624.33730229224,77
"1981","control",96467.2210076265,717
"1981","exclosure",4979.02332915828,80
"1981","removal",807.837595106426,10
"1981","spectabs",12111.0913323142,114
"1982","control",127629.914742329,1065
"1982","exclosure",10768.9341710552,211
"1982","removal",5099.05122475568,90
"1982","spectabs",18858.284814397,169
"1983","control",142435.587282934,1180
"1983","exclosure",10198.0196175661,168
"1983","removal",2569.40508482135,59
"1983","spectabs",16786.3032817645,171
"1984","control",59492.7793286367,547
"1984","exclosure",7868.70419557845,86
"1984","removal",1612.61128896419,32
"1984","spectabs",9004.85759459053,90
"1985","control",90021.3403121297,846
"1985","exclosure",7665.16158396451,108
"1985","removal",3089.9426769602,60
"1985","spectabs",11214.710362496,127
"1986","control",80198.4190254602,663
"1986","exclosure",5771.58709835246,80
"1986","removal",2116.53495423107,46
"1986","spectabs",8743.16625774036,91
"1987","control",121713.444505225,1072
"1987","exclosure",11908.0457565134,196
"1987","removal",9216.08678270395,154
"1987","spectabs",12652.1894592769,131
"1988","control",64913.2705320502,602
"1988","exclosure",28586.7549090197,361
"1988","removal",17475.8874108,248
"1988","spectabs",15773.8644371186,145
"1989","control",58523.8271321768,613
"1989","exclosure",29142.7306529093,442
"1989","removal",14140.4014246705,261
"1989","spectabs",14203.0757533691,157
"1990","control",60479.3853388212,611
"1990","exclosure",16241.2211865106,321
"1990","removal",5648.29504674512,140
"1990","spectabs",15080.4038084425,157
"1991","control",50752.3532143027,555
"1991","exclosure",19421.4986172183,367
"1991","removal",8453.99476571265,195
"1991","spectabs",14664.2078380955,161
"1992","control",41632.2977905668,457
"1992","exclosure",13562.5379104728,258
"1992","removal",5524.0740842314,117
"1992","spectabs",10661.1016052516,113
"1993","control",29937.4153454794,313
"1993","exclosure",11695.9043326926,216
"1993","removal",3741.45669842022,78
"1993","spectabs",6077.00218652824,68
"1994","control",28601.6785495351,301
"1994","exclosure",8731.47243216047,167
"1994","removal",2695.55160588016,51
"1994","spectabs",4591.53708992249,51
"1995","control",45756.1016029208,551
"1995","exclosure",15905.549743758,343
"1995","removal",4152.19852261112,83
"1995","spectabs",12740.5703654234,144
"1996","control",58901.2670834352,733
"1996","exclosure",29170.5082282454,583
"1996","removal",8374.64420710665,156
"1996","spectabs",13832.7475216469,171
"1997","control",93073.1745498651,1087
"1997","exclosure",47960.3920477761,791
"1997","removal",17581.2448697167,310
"1997","spectabs",20777.3022109165,248
"1998","control",65782.5284752351,727
"1998","exclosure",32085.0236301698,486
"1998","removal",7991.54889153778,131
"1998","spectabs",10850.1035602641,124
"1999","control",39457.2135735207,440
"1999","exclosure",23296.0749247938,339
"1999","removal",4751.78815947474,63
"1999","spectabs",9204.59207486435,103
"2000","control",48390.8426123374,596
"2000","exclosure",28054.2171776139,418
"2000","removal",3248.31135275342,53
"2000","spectabs",13608.1498836268,176
"2001","control",44344.5933025001,524
"2001","exclosure",30354.2835446208,406
"2001","removal",4903.3274278446,55
"2001","spectabs",10261.3451783619,119
"2002","control",74848.3507747434,869
"2002","exclosure",66694.8792982981,868
"2002","removal",9138.410850634,123
"2002","spectabs",17674.5000011805,226
"2003","control",95751.1219553534,1224
"2003","exclosure",81201.0576238643,1143
"2003","removal",12258.3032359556,209
"2003","spectabs",20629.607074987,289
"2004","control",33527.2552312141,418
"2004","exclosure",22384.2325127044,329
"2004","removal",2702.35962796603,43
"2004","spectabs",8928.01595875162,117
"2005","control",66309.127434577,935
"2005","exclosure",40643.8485034867,616
"2005","removal",5284.97982239904,94
"2006","control",73242.5088946856,1019
"2006","exclosure",54632.9762452143,815
"2006","removal",10816.987479817,147
"2007","control",162395.737487137,2049
"2007","exclosure",119403.851707867,1578
"2007","removal",31458.3272953688,485
"2008","control",137541.19828802,1559
"2008","exclosure",66937.595026461,905
"2008","removal",16359.2716232445,254
"2009","control",61688.8227646817,704
"2009","exclosure",28578.9661782762,410
"2009","removal",3983.11878476257,66
"2010","control",20696.9673361286,268
"2010","exclosure",7756.65320496463,134
"2010","removal",1743.27569640621,27
"2011","control",38653.8913974087,597
"2011","exclosure",22329.7317121586,447
"2011","removal",4165.0250296242,78
"2012","control",86683.5440650555,1259
"2012","exclosure",39017.0576313749,743
"2012","removal",13899.8481873717,219
"2013","control",66327.4329784019,838
"2013","exclosure",23001.5535755385,401
"2013","removal",7676.59255398347,116
"2014","control",107910.422881242,1397
"2014","exclosure",45296.3861226957,786
"2014","removal",11490.0426626099,194
"2015","control",133435.076461757,1787
"2015","exclosure",74699.6908688882,1182
"2015","removal",32157.7080229364,536
"2016","control",65555.1852350234,759
"2016","exclosure",22490.3849558232,385
"2016","removal",7999.75262239408,133
"2017","control",84200.4446352937,1000
"2017","exclosure",34745.8655011337,551
"2017","removal",18164.2043810888,253
"2018","control",39257.2894337086,498
"2018","exclosure",14457.7953543401,271
"2018","removal",7997.31173843027,126
